director,genre,level,rating,runtime,studio,time,title,url,writer
George Miller,Action & AdventureScience Fiction & Fantasy,"R (for intense sequences of violence throughout, and for disturbing images)",97%,120 minutes,Warner Bros.,"May 15, 2015",Mad Max: Fury Road,https://www.rottentomatoes.com/m/mad_max_fury_road,Brendan McCarthyNick LathourisGeorge Miller
Carol Reed,ClassicsMystery & Suspense,NR,99%,104 minutes,Rialto Pictures,"Sep 3, 1949",The Third Man,https://www.rottentomatoes.com/m/the_third_man,Graham Greene
Bob PersichettiPeter RamseyRodney Rothman,Action & AdventureAnimationKids & FamilyScience Fiction & Fantasy,"PG (for frenetic sequences of animated action violence, thematic elements, and mild language)",97%,100 minutes,Sony Pictures,"Dec 14, 2018",Spider-Man: Into the Spider-Verse,https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse,Phil LordRodney Rothman
Jordan Peele,HorrorMystery & Suspense,"R (for violence, bloody images, and language including sexual references)",98%,104 minutes,Universal Pictures,"Feb 24, 2017",Get Out,https://www.rottentomatoes.com/m/get_out,Jordan Peele
Spike Lee,ComedyDrama,"R (for language throughout, including racial epithets, and for disturbing/violent material and some sexual references)",96%,135 minutes,Focus Features,"Aug 10, 2018",BlacKkKlansman,https://www.rottentomatoes.com/m/blackkklansman,Charlie WachtelDavid RabinowitzKevin WillmottSpike Lee
Orson Welles,ClassicsDramaMystery & Suspense,PG,100%,119 minutes,RKO Radio Pictures,"May 1, 1941",Citizen Kane,https://www.rottentomatoes.com/m/citizen_kane,Orson WellesHerman J. Mankiewicz
King VidorVictor Fleming,ClassicsKids & FamilyMusical & Performing ArtsScience Fiction & Fantasy,G (for some scary moments),98%,101 minutes,Warner Bros. Pictures,"Aug 25, 1939",The Wizard of Oz,https://www.rottentomatoes.com/m/the_wizard_of_oz_1939,Florence RyersonNoel LangleyEdgar Allan Woolf
Greta Gerwig,ComedyDrama,"R (for language, sexual content, brief graphic nudity and teen partying)",99%,93 minutes,A24,"Nov 3, 2017",Lady Bird,https://www.rottentomatoes.com/m/lady_bird,Greta Gerwig
Christopher McQuarrie,Action & AdventureDramaMystery & Suspense,"PG-13 (for violence and intense sequences of action, and for brief strong language)",97%,147 minutes,Paramount Pictures,"Jul 27, 2018",Mission: Impossible - Fallout,https://www.rottentomatoes.com/m/mission_impossible_fallout,Christopher McQuarrie
Ryan Coogler,Action & AdventureDramaScience Fiction & Fantasy,"PG-13 (for prolonged sequences of action violence, and a brief rude gesture)",97%,135 minutes,Marvel Studios,"Feb 16, 2018",Black Panther,https://www.rottentomatoes.com/m/black_panther_2018,Joe Robert ColeRyan Coogler
Christian Petzold,Art House & InternationalDrama,NR,96%,101 minutes,Music Box Films,"Mar 1, 2019",Transit,https://www.rottentomatoes.com/m/transit_2018,Christian Petzold
Zhangke Jia,DramaRomance,NR,98%,136 minutes,Cohen Media Group,"Mar 15, 2019",Ash Is Purest White,https://www.rottentomatoes.com/m/ash_is_purest_white,Zhangke Jia
Stephen Merchant,Comedy,"PG-13 (for crude and sexual material, language throughout, some violence and drug content)",93%,107 minutes,MGM,"Feb 22, 2019",Fighting with My Family,https://www.rottentomatoes.com/m/fighting_with_my_family,Stephen Merchant
Anna BodenRyan Fleck,Action & AdventureScience Fiction & Fantasy,"PG-13 (for sequences of sci-fi violence and action, and brief suggestive language)",78%,128 minutes,Marvel Studios,"Mar 8, 2019",Captain Marvel,https://www.rottentomatoes.com/m/captain_marvel,Anna BodenRyan FleckGeneva Robertson-Dworet
Jon S. Baird,ComedyDrama,"PG (for some language, and for smoking)",93%,97 minutes,Sony Pictures Classics,"Jan 25, 2019",Stan & Ollie,https://www.rottentomatoes.com/m/stan_and_ollie,Jeff Pope
